title,slug,category,kind,description,website,apply_link,latest_update,updated,tags,popular,quick,Conducting Body,Official Notification,Registration Start,Last Date,Correction Window,Admit Card,Exam Date,Answer Key,Result,Counselling,Eligibility,Age Limit,Application Fee,Exam Pattern,Syllabus,Previous Papers,Required Documents,Processing Time,Helpline,Purpose,Admission Portal,Result Portal,Exam Portal,Academic Calendar,Contact,Result Link,Time Table,Sample Papers,Job Categories,Notification,Scholarship Amount
NEET UG Result,neet-ug-result,Entrance Exams,Exam,Official NTA NEET UG 2026 result and score-card portal,https://neet.nta.nic.in/,https://neet.ntaonline.in/,"As of 21 September 2026, the NEET UG 2026 score card/result and final answer-key updates are available on the official NTA portal.",2026-09-21,,yes,yes,National Testing Agency (NTA),https://neet.nta.nic.in/2026/,08 February 2026,11 March 2026,12 March 2026 to 14 March 2026,Available through the official NEET portal,03 May 2026; re-examination for eligible candidates on 21 June 2026,https://neet.nta.nic.in/public-notices/,https://neet.nta.nic.in/score-card-for-neet-ug-2026/,Counselling is handled by the respective counselling authorities after result declaration.,"10+2 / equivalent passed or appearing with Physics, Chemistry, Biology/Biotechnology and English, subject to the official NEET UG 2026 eligibility rules.",Minimum age 17 years by 31 December 2026; no upper age limit.,As prescribed in the NEET UG 2026 Information Bulletin; category-wise fee applies.,"Pen-and-paper (OMR) examination; 200 questions are provided and 180 are to be attempted, for 720 marks.",https://neet.nta.nic.in/2026/,https://nta.ac.in/Downloads,,,,,,,,,,,,,,,
JEE Main,jee-main,Entrance Exams,Exam,Official NTA JEE Main portal and latest 2027 schedule notices,https://jeemain.nta.nic.in/,,NTA has announced the 2026–27 examination calendar. JEE Main 2027 Session 1 is scheduled for 22–30 January 2027; detailed registration dates and the full notification are to be issued separately.,2026-09-21,,,,National Testing Agency (NTA),,Detailed application notification: To be announced by NTA,To be announced,To be announced,To be announced,Session 1: 22–30 January 2027 (as per NTA exam calendar; detailed schedule subject to notification),,To be announced,JoSAA/CSAB after the JEE Main 2027 process,Candidates should follow the JEE Main 2027 information bulletin and the applicable year-of-passing criteria.,"No age limit, subject to the official eligibility conditions.",To be announced in the JEE Main 2027 Information Bulletin.,"Computer Based Test (CBT); Paper 1 for B.E./B.Tech. covers Mathematics, Physics and Chemistry.",https://jeemain.nta.nic.in/,https://jeemain.nta.nic.in/,,,,,,,,,,,,,,,
CUET UG,cuet-ug,Entrance Exams,Exam,"Official CUET UG 2026 score-card, result and notices",https://cuet.nta.nic.in/,,CUET UG 2026 result/NTA scores and score-card access are available. NTA has also published the final answer keys.,2026-09-21,,yes,yes,National Testing Agency (NTA),https://cuet.nta.nic.in/documents/,01 January 2026,30 January 2026,As per NTA notices,https://cuet.nta.nic.in/,May–June 2026,https://cuet.nta.nic.in/final-answer-keys-for-cuetug-2026/,https://cuet.nta.nic.in/score-card-for-cuetug-2026/,University-wise admission/counselling after CUET score declaration.,"Class 12 passed/appearing candidates, subject to the eligibility rules of the participating university/programme.",No general age limit; participating university/programme rules may apply.,As prescribed in the CUET UG 2026 Information Bulletin.,Computer Based Test (CBT); subjects and question pattern depend on the subjects selected.,https://cuet.nta.nic.in/,https://cuet.nta.nic.in/documents/,,,,,,,,,,,,,,,
GATE 2027,gate,Entrance Exams,Exam,Indian Institute of Technology Madras (IIT Madras),https://gate2027.iitm.ac.in/,,"Registration is live. On 19 September 2026, GATE 2027 advised candidates not to delete the DigiLocker account used for application. Regular registration closes 27 September 2026; extended registration closes 05 October 2026.",2026-09-21,,,,Indian Institute of Technology Madras (IIT Madras),https://gate2027.iitm.ac.in/notifications,02 September 2026,27 September 2026 (regular); 05 October 2026 (extended with late fee),14 October 2026 to 21 October 2026,04 January 2027 (city allotment notification); admit-card download date to be announced,"06–07, 13–14 and 20–21 February 2027",To be announced,19 March 2027,Institute/PSU recruitment processes are separate and depend on the organization.,"Candidates currently studying in 3rd year or higher of an eligible undergraduate degree, or candidates who have completed an eligible government-approved degree, subject to the GATE 2027 brochure.",No age limit.,Per paper: category-wise fee as prescribed by GATE 2027; see the official application portal for the current fee.,"Computer Based Test (CBT), 3 hours, 100 marks; MCQ, MSQ and NAT question types.",https://gate2027.iitm.ac.in/exam_papers_and_syllabus,https://gate2027.iitm.ac.in/download,,,,,,,,,,,,,,,
CAT 2026,cat,Entrance Exams,Exam,Indian Institutes of Management (IIMs),https://iimcat.ac.in/,,CAT 2026 registration has been extended to 22 September 2026. The examination is scheduled for 29 November 2026 and the admit card is scheduled for 04 November 2026.,2026-09-21,,,,Indian Institutes of Management (IIMs),https://iimcat.ac.in/,03 August 2026,"22 September 2026, 5:00 PM",As announced by the CAT 2026 authorities,04 November 2026,29 November 2026,To be announced,Expected in December 2026,Admission processes are conducted separately by participating institutes.,"Bachelor's degree with at least 50% marks or equivalent CGPA (45% for SC/ST/PwD candidates), or final-year graduation status, subject to the CAT 2026 notification.",No age limit.,As prescribed in the CAT 2026 official notification.,"Computer Based Test in three sections: VARC, DILR and QA.",https://iimcat.ac.in/,https://iimcat.ac.in/,,,,,,,,,,,,,,,
CLAT 2027,clat,Entrance Exams,Exam,Consortium of National Law Universities (NLUs),https://clat2027.consortiumofnlus.ac.in/,,CLAT 2027 online enrolment is open from 03 August to 31 October 2026. The examination is scheduled for 06 December 2026.,2026-09-21,,,,Consortium of National Law Universities (NLUs),https://clat2027.consortiumofnlus.ac.in/clat-2027/ug-instructions.html,03 August 2026,"31 October 2026, 11:59 PM",Changes after submission are subject to the official CLAT 2027 instructions.,Date to be announced on the CLAT 2027 website,"06 December 2026, 2:00 PM–4:00 PM",To be announced,To be announced,December 2026 / January 2027,UG: 10+2 or equivalent as specified in the CLAT 2027 eligibility rules. Candidates appearing in the qualifying examination may apply subject to the admission requirements.,No upper age limit for CLAT UG.,"₹4,000 for General/OBC; ₹3,500 for SC/ST/BPL/PwD candidates.",Offline examination; refer to the official CLAT 2027 question-paper format for the current section-wise pattern.,https://clat2027.consortiumofnlus.ac.in/,https://consortiumofnlus.ac.in/,,,,,,,,,,,,,,,
NDA & NA Examination (II) 2026,nda,Defence,Exam,Union Public Service Commission (UPSC),https://www.upsc.gov.in/examinations/National%20Defence%20Academy%20and%20Naval%20Academy%20Examination%20%28II%29%2C%202026,https://upsconline.nic.in/,NDA & NA II 2026 was held on 13 September 2026. The e-Admit Card had been released on 03 September 2026; result is awaited.,2026-09-21,,,,Union Public Service Commission (UPSC),https://www.upsc.gov.in/examinations/National%20Defence%20Academy%20and%20Naval%20Academy%20Examination%20%28II%29%2C%202026,20 May 2026,"11 June 2026, 6:00 PM",As per UPSC notice,Released 03 September 2026,13 September 2026,To be announced,To be announced,SSB selection process after written-result qualification.,"12th pass/appearing. Physics, Chemistry and Mathematics are required for Air Force/Naval Wings and the 10+2 Naval Academy entry, subject to the notification.",Date-of-birth and marital-status conditions are as specified in the official NDA II 2026 notification.,₹100; eligible female/SC/ST candidates and specified wards are exempt.,"Written examination: Mathematics 300 marks and GAT 600 marks, followed by SSB Test/Interview.",https://www.upsc.gov.in/examinations/National%20Defence%20Academy%20and%20Naval%20Academy%20Examination%20%28II%29%2C%202026,https://www.upsc.gov.in/examinations/previous-question-papers,,,,,,,,,,,,,,,
CDS II 2026,cds,Defence,Exam,Union Public Service Commission (UPSC),https://www.upsc.gov.in/examinations/Combined%20Defence%20Services%20Examination%20%28II%29%2C%202026,https://upsconline.nic.in/,CDS II 2026 was held on 13 September 2026. UPSC released the e-Admit Card on 03 September 2026; result is awaited.,2026-09-21,,,,Union Public Service Commission (UPSC),https://www.upsc.gov.in/examinations/Combined%20Defence%20Services%20Examination%20%28II%29%2C%202026,20 May 2026,"11 June 2026, 6:00 PM",As per UPSC notice,Released 03 September 2026,13 September 2026,To be announced,To be announced,SSB selection process after written-result qualification.,"Graduation for IMA/OTA; Engineering degree for INA; and specified degree/Physics & Mathematics conditions for AFA, as per the official notification.",Age and marital-status conditions vary by academy and are specified in the CDS II 2026 notification.,₹200; female and SC/ST candidates are exempt.,"IMA/INA/AFA: English, General Knowledge and Elementary Mathematics. OTA: English and General Knowledge. Written examination is followed by SSB.",https://www.upsc.gov.in/examinations/Combined%20Defence%20Services%20Examination%20%28II%29%2C%202026,https://www.upsc.gov.in/examinations/previous-question-papers,,,,,,,,,,,,,,,
AFCAT 02/2026,afcat,Defence,Exam,Indian Air Force (IAF),https://careerairforce.gov.in/,https://afcat.edcil.co.in/,AFCAT 02/2026 written examination was conducted on 08 August 2026 and the result was declared on 09 September 2026. Qualified candidates proceed to the AFSB stage.,2026-09-21,,,,Indian Air Force (IAF),https://www.careerairforce.gov.in/notification,20 May 2026,19 June 2026,As per AFCAT portal,Released before the August 2026 examination,08 August 2026,To be announced,Result declared 09 September 2026,AFSB selection after qualifying the written examination.,Graduation and branch-specific educational/age requirements as prescribed by the AFCAT 02/2026 notification.,Flying Branch and Ground Duty age criteria are as specified in the official notification.,₹550 + GST for AFCAT Entry; specified exempt entries do not pay the AFCAT examination fee.,"Online CBT, 2 hours, 100 questions, 300 marks; +3 for correct and -1 for incorrect answers.",https://www.careerairforce.gov.in/notification,https://careerairforce.gov.in/,,,,,,,,,,,,,,,
UGC NET June 2026,ugc-net,Entrance Exams,Exam,National Testing Agency (NTA),https://ugcnet.nta.nic.in/,,The UGC NET June 2026 score card is available. Final answer keys for the main examination and the September re-examination have been published; results for the re-exam subjects are also being published on the official portal.,2026-09-21,,,,National Testing Agency (NTA),https://ugcnet.nta.nic.in/documents/,29 April 2026,20 May 2026,23 May–25 May 2026,https://ugcnet.nta.nic.in/document-category/public-notices-2026/,"June 2026; re-examination for English, Commerce and Sociology on 09–10 September 2026",https://ugcnet.nta.nic.in/category/latest-news/,https://ugcnet.nta.nic.in/link/ugc-net-june-2026-score-card/,Not applicable as a centralized counselling process.,Master's degree/equivalent with the required percentage under the UGC NET rules; category-wise relaxation applies.,"JRF age limit and relaxations apply; no upper age limit for Assistant Professor/Ph.D.-only eligibility, subject to rules.",Category-wise fee as prescribed in the UGC NET June 2026 Information Bulletin.,"CBT, 3 hours, Paper I and Paper II; 150 questions and 300 marks in total; no negative marking.",https://www.ugcnetonline.in/syllabus-new.php,https://www.ugcnetonline.in/previous_question_papers.php,,,,,,,,,,,,,,,
